rideable_type,member_casual,n,pct_of_total,Pct_of_membership_type
classic,casual,859568,15.20599799533755,41.83266602653232
docked,casual,86098,1.5230976669705856,4.190138394580044
electric,casual,1109111,19.62048336211542,53.97719557888764
classic,member,1773648,31.376328495749558,49.29476979859896
electric,member,1824397,32.27409247982689,50.70523020140104
